Feedback_ID,Rating,Comments,Submitted_At,Created_At,Updated_At
FB00075,5,Spot public public nearby friendly event public spot spot space community event,2025-01-31 19:42:30,2022-06-13 19:59:10,2025-08-14 19:52:53
FB00076,3,Central book public access central event family space event reserve public space,2025-04-19 00:08:45,2022-08-07 17:21:58,2024-02-13 17:05:02
FB00077,3,Access public open central family area event open central reserve public secure,2024-08-21 07:57:08,2022-09-17 06:09:59,2025-11-29 18:33:25
FB00078,2,Nearby community service meeting friendly friendly open service space area book open,2024-12-16 10:39:25,2023-12-07 04:57:33,2025-02-18 21:30:33
FB00079,4,Central meeting area family public access available facility nearby access open meeting,2022-09-20 20:59:38,2023-01-13 23:19:53,2025-08-17 04:22:05
FB00080,2,Public community nearby reserve reserve book public area nearby spot book reserve,2025-11-26 00:30:03,2024-04-26 03:53:38,2024-12-15 07:30:44
FB00081,4,Public reserve friendly family event access book book access area available area,2023-12-25 06:50:41,2023-05-13 17:50:13,2025-05-15 09:58:20
FB00082,4,Community community facility space family space facility meeting access family public meeting,2024-05-22 00:30:04,2024-08-27 19:16:54,2024-03-07 21:21:11
FB00083,4,Event available access book meeting facility gathering open area central community area,2024-09-22 14:00:07,2023-03-25 20:05:18,2025-06-05 23:22:13
FB00084,2,Public reserve service book meeting book friendly reserve community spot family area,2023-08-03 09:10:43,2023-05-16 20:14:30,2025-09-20 20:54:49
FB00085,5,Central available nearby community nearby event book spot spot community open public,2023-09-20 15:28:05,2023-05-30 09:54:03,2025-08-23 07:15:44
FB00086,4,Book nearby spot gathering gathering available family event family gathering friendly service,2024-10-06 08:17:09,2024-06-01 20:28:39,2024-01-17 02:46:36
FB00087,1,Spot public access community facility service reserve public nearby service reserve area,2023-03-16 07:57:15,2024-01-30 03:31:35,2024-02-07 09:20:14
FB00088,1,Central access nearby available family family space central available space meeting spot,2025-07-12 08:46:55,2022-04-01 17:19:51,2025-12-06 10:05:17
FB00089,5,Open friendly reserve central facility nearby friendly family public service area spot,2022-01-01 15:33:01,2023-12-16 12:59:39,2025-04-08 20:15:13
FB00090,2,Community space available community meeting open open reserve reserve open area public,2024-08-01 02:13:51,2024-07-09 08:12:53,2025-09-25 04:53:51
FB00091,1,Public central area available family meeting book open space central facility community,2024-02-07 01:16:44,2024-12-27 06:22:30,2025-12-01 15:18:16
FB00092,1,Space open space access access book open reserve reserve family service central,2025-04-26 21:19:18,2023-11-07 16:29:42,2024-06-10 21:38:12
FB00093,5,Book area access open secure access event available central friendly secure open,2023-08-29 13:40:20,2024-08-10 03:18:50,2025-08-18 04:11:58
FB00094,2,Central area reserve central public facility central spot reserve public service service,2023-04-20 04:36:11,2023-05-08 01:50:52,2025-06-04 22:05:47
FB00095,5,Family area spot event service meeting event public open access family area,2023-03-28 23:09:54,2022-07-03 18:51:29,2024-05-31 22:44:59
FB00096,4,Space reserve service reserve event open meeting secure community friendly friendly friendly,2025-11-15 00:52:52,2022-03-04 03:02:42,2024-11-26 06:00:16
FB00097,5,Space book facility secure access family available space available nearby community public,2023-12-25 11:23:25,2024-02-16 04:11:33,2025-05-31 23:30:21
FB00098,3,Friendly meeting space secure available spot facility facility central space open friendly,2024-10-23 22:38:01,2022-03-28 11:26:11,2025-01-23 17:04:16
FB00099,1,Service facility community community book family gathering available space reserve meeting public,2024-02-13 20:29:53,2022-09-09 08:35:07,2025-02-26 05:26:05
FB00100,3,Service nearby gathering community event open spot reserve spot community facility access,2023-05-08 14:56:03,2024-07-31 22:30:14,2024-12-29 00:37:07
